message,label
"Assalamualaikum

Maaf kami dari

PUSAT L.E.LA.N.G
P.EG.A.D.A.I.A.N
.
Menawarkan barang
jatuh
Tempo utk lebih lanjut

Cek: 
bit.ly/infoLeLan9tbk99",1    
"Alhamdulillah sy jumiati berhasil dgan p3sugihan U4NG G01B h4lal dan smua hutang sy sudah lunas,
yng mau seperti sy lihat bukti berita di www.beritasukses.my.id",1    
"Anda Terima
Dana Bantuan
SUBS1D1
Rp.189.000.000
PIN; 717747
wa
082249978277
BUKA
bit.ly/subsidi277",1    
"Berkah enrg!
Anda dpt-kan
Cek 189 Jt Kode
717747
W4
082249978277
Kllik
bit.ly/subsidi277",1    
"INFO PINJ4M4N D4N4 ONLINE
PROSES MUD4H/CEP4T
PINJ4MAN MINIMAL 5JT S/D 500JT
BUNG4 RENDAH 2%/THN
MINAT WHATSAPP :0822-1321-2125
",1    
"YTH,Bapak/Ibu
@nd@ Butuh Dan4
Proses Cepat & Mudah
Bung4 2%
T@np@ Survey
HUB WA O853 8682 8345.",1    
"Pelanggan 088888888888, Kamu Dapat Pesan dan 1000 Coin. Untuk Baca, Hubungi *101*11# Sekarang, Chatting Tanpa Kuota Internet & Raih Bonus Pulsa",1    
"No HP 088888888888, COIN PULSA Hari Ini: +1000. Bisa Kamu Ambil di *500*220#. Bisa Kamu Tukar PULSA+KUOTA. SEGERA Hub *500*220# dari HP ini utk Ambil REWARD mu!",1    
"Nomor 088888888888, Per Besok 21 Aug, +2000 COIN PULSA Anda akan Hangus!

SEGERA Ambil di *500*75# dan Tukar Jadi PULSA Hari Ini!*

Hub *500*75# dan Pilih 1 YA!",1    
Anda m-endapat hadiah Rp.50 jt dari Raffi/Nagita utk info silahkan chat di Whatsapp TEAM Rans Entertainment no +6283871105777,1    
"Nomor 088888888888, Per Besok 04 Mei, +1000 COIN PULSA Anda akan Hangus!

SEGERA Ambil di *500*70# dan Tukar Jadi PULSA Hari Ini!

Hub *500*70# dan Pilih 1 YA!",1    
"Nomor 088888888888, Per Besok 15 Jun, +1000 COIN PULSA Anda akan Hangus!

SEGERA Ambil di *500*70# dan Tukar Jadi PULSA Hari Ini!

Hub *500*70# dan Pilih 1 YA!",1    
"Selamat Nomor 088888888888

+1000 C0IN PULSA
Anda Baru Saja Masuk.

SEGERA Ambil di *500*01# dan Tukar Jadi PULSA Sebelum Hangus!",1    
"Ambil voucher REZEKI SAKTI Anda. Ada Voucher Shopee, Mobile Legend, Free Fire, dll. Pengambilan mulai jam 10:00 WIB di tsel.id/vouchersaktii .Kuota terbatas.S&K",0    
Anda mendapatkan 1 POIN dari isi ulang pulsa/pembelian paket. Tuker 1 Poin untuk Honda WR-V di *700*2# atau tsel.id/uuh sebelum periode berakhir! SKB,0    
Selamat Kamu dpt MyVoucher 1000 utk pembelian selanjutnya di MyTelkomsel apps berlaku 14 hari sampai 08/12/2023 pkl. 23:59WIB. Cek Voucher di tsel.id/myvoucher,0    
"Hai ANONIM, kamu ga kangen sama aku? Iya aku, SUNLIGHT! Sekarang dengan *FORMULASI BARU*

Kini kamu bisa bersihkan lemak 10× lebih cepat bahkan pada peralatan makan plastik dengan wangi jeruk nipis yang lebih segar! Penasaran? Tonton video ini untuk bukti kekuatan formulasi baruku padamu bit.ly/SunlightNewFormula

Khusus buat kamu, VOUCHER SPECIAL SUNLIGHT 650mL dari Rp15.000 kini *hanya Rp8.900* s/d 15 April di tempat favorit kita Toko ALFAMART, cukup gunakan kode voucher *CD214B9A6X02* di kasir.

Yuk, belanja ke Toko ALFAMART sekarang, aku tunggu ya!",0    
"Pssst…aplikasi Grab-mu jangan dianggurin. Ada banyak diskon yang udah nungguin😉

Spesial buat kamu, nikmati *diskon gede s.d. 95%* di berbagai layanan Grab hanya dengan pakai kode promo *YUKGRAB*

Makan, jalan, kirim barang, hingga belanja bulanan jadi hemat pol-polan🤑

Yuk, pakai Grab di link berikut:
https://grb.to/YUKGRABWA7",0    
"Selamat siang pak/ibu Kami dari kepolisian menginformasikan bahwa bapak/ ibu melakukan pelanggaran, Silakan Buka aplikasi untuk melihat surat tilangnya 14.19

Jika suratnya sudah dibaca silakan segera datang ke kantor polisi yang terdekat",1    
"Surat Undangan Pernikahan Digital.apk

Kami harap kehadiran nya",1    
"Assalamuallaikum kak,maaf ganggu,kami dari kasir indomaret, minta tolong sbentar, tadi ada pelanggan kami beli voucher game,kami salah infut nomor jadi Sms nya terkirim ke nomor kakak
Sms yg ada tulisan thailand nya kak karna ada kode 5 angka kak untuk kode voucher game fisinggo kk

Bisa di kirim ke sini SMS nya kak",1    
"Maaf kami sdh menhubungi anda tapi tdk tersambung SIMCARD anda adalah pemenang ke-2 PESTA ISI ULANG PT.M- KIOS dg PIN:M23D187 U/info klik:

www.pusatmkios.co.vu",1    
"PT.SHOPEE
Selamat
No.Anda terpilih
M-dapatkan hadiah ke-2
Rp.175jta
PIN pemenang (J7K2B59)
U/info hadiah klik
bit.ly/shopee5299",1    
"Peserta BPJS Yth. Anda resmi menerima DANA BANTUAN Rp.100 juta Dari BPJS Kesehatan Verifikasi di link:

www.layananbantuanbpjs.blogspot",1    
Nomor Anda Di Daftarkan Auto TP Oleh 085332987339 Anda akan Mengirimkan pulsa Rp.20.000 setiap tgl 20. u/Berhenti KΕΤΙΚ;ΤΡ 20 085332987339 Kirim ke (858) GRATIS,1    
Sebagai nasabah Yth rek anda diNyatakan resmi mendpt hadiah dari berkah BRIpoin & Kode Cek Anda 02591234 Utk INFO klik:http:// berkahpoinbri.blogspot.com,1    
"Kak Aku Bantu MAXWIN Mau Gak ?
Depo 25 Aku Bantu MAXWIN 800-1 Juta (Di Deposit Pertama)
Depo 50 Aku Bantu MAXWIN 1-2 Juta (Di Deposit Pertama)
Dibantu Sampai BERHASIL 100% ✅
Kalau Kalah Gimana? JAMINAN SALDO KEMBALI ✅
💥PROMO BONUS NEW MEMBER 100%
💥Bonus lucky spin setiap hari

🔗https://slotupcuy.org/invite/apluemu
balas oke untuk  bisa klik link ini !
note: wajib daftar lewat link di atas agar aku bisa bntu kemenangannya kaka..

💫Nama rekening   :
💫No rekening      :
💫Via bank /e-wallet :",1    
"*""HALLO BOSQUE""*
  *Selamat Nomor Whatsaap Anda Terpilih*
*Sebagai Pemenang GIVEAWAY 50JT*
*Dari BAIM\PAULA*
*Syaratnya Cukup Mudah Silahkan Jawab*
*Kuis Di Bawah Ini*

 *""SIAPA NAMA ANAK KEDUA BAIM WONG""??*

*Silahkan Kirim Jawaban Anda DiNomor*
*Whatsaap Pelayanan Di Bawah Ini*
  *Whatsaap Pelayanan giveaway*:+6281563332701",1    
"Hallo,
Perkenalkan saya Nadira dari Suakaraya Digital Marketing Agency, perusahaan kami bergerak dibidang Digital Marketing, saat ini kami membuka Lowongan untuk posisi Periklanan yang di mana posisi ini dapat di kerjakan melalui WFH,


Diperlukan banyak partisipan untuk mengembangkan inovasi ini, pekerjaan ini sangat fleksibel, untuk kaka yang bekerja saat ini gaakan terganggu


Bolehkah aku jelaskan terkait jobdesknya? Via chat ko ka.",1    
"PENGUMUMAN
SALAM...

BPJS Ketenagakerjaan mengadakan amal sosial kepada masyarakat Indonesia. 

Bersangkutan dgn Dana Bantuan tersebut, pihak BPJS Memberikan bantuan utk 10.orang yg beruntung saja yg di undi melalui nomor whatsapp.

Mengenai Dana Bantuan Tersebut masing-masing mendapatkan Rp. (27.000.000) 

Dan Nomor whatsapp anda salah satu yg TERSELEKSI. 


BPJS Menyampaikan Bahwa Anda Terdaftar di kantor
BPJS pusat menerima Dana. Bantuan Rp. 27Jt.

PIN_ANDA BP27J9S

KETERANGAN PENERIMAAN DANA BANTUAN. 

KETIK. BP27J9S
kirim ke. 
WA ADMIN BPJS DI BAWAH INI
Wa. +6283877854884",1    
"Gebyar PT.SHOPEE
NO.anda trpilih
merahi hadia
Rp.175.jta PIN.25f4777
silakan cek pin anda klik
bit.ly/info-resmi7999",1    
"Slmt
NO.Anda Resmi
Men-dapatkan Hadiah
Ke-2 Cek Tunai
Rp.175jt Kode ID
pemenang;[WHA012]
U/Info Hadiah
Klik
bit.ly/whatsappjkt-78",1    
"Pelanggan 085861176394, +1000 KOIN PULSA mu Masih Belum Kamu Ambil? SEGERA Hub *858*22# utk Ambil Sebelum Hangus. Bisa Kamu Tukar Jadi Pulsa+Data Lho! *858*22#",1    
Anda Mendapat GIVEWAY 50JT Dari BAIMWONG kode (727BAIM) info Admin wa.083138586918 Trimakasih.,1    
"PELANGGAN INDOSAT..!!
Selamat No Anda terpilih

sebagai pemenang KE2
dri SHOPEE INDONESIA
Dgn kode pin (C27D4K1)


U/Info klik; bit.ly/shopeeindonesia57",1    
Selamat Bosque Keberuntungan Berpihak Kepada anda Mendapatkan 100jt GIVEAWAY BAIM WONG Pin Pemenang BZ54GH9 U/Info Lebih Lengkap Silahkan Chat WA 085242214747,1    
"Selamat no/WA
hadiah RP.175.Jta
pin pemenang(WHA012)
sIakan cek pin anda klik
bit.ly/whatsapp2021jkt85
",1    
"sy dri Malaisia tengah dalam permasalahan keluarga, sy butuh bantuan ncik untuk selamatkan uang dari keserakahan istri sye, tlong WA sy +60143769509",1    
S3L4MAT NO Wh4ts4pp ANDA dpt Rp 35jt Dr GIVE AWAY Baim wong !! Kode 001498788 Info WA: 082218014445,1    
Halo Kak! Aku Winda Dari Team Giveaway BAIM WONG Anda Memenangkan Hadiah Uang 100jt dari kami info Klik: https://wa.me/+6282296982164,1    
"Kmi mnwrkn
d@n4
Pinj@mn
5jta S/D 500jta
Dgn Bunga 2%
pertahun
jamin KTP & KK
U/info 082217968518",1    
"Selamat, anda M-dpatkan
C3k Rp.189.000.000
Dari Perusahaan
PT. PERTAMINA
CODE ID: 717747
info lanjut;
bit.ly/pertamina-2021",1    
"Kami Team TRANS7!!
Anda Tr'pilih M-dapat Rp.50'jt
""program GIVEAWAY IND""
Disponsori//Tr@ns7
ID_025477
ADMIN WA.0822-5118-4347
bit.ly/spesial-giveawaytrans7",1    
"selamat
no.anda Meraih 
Cek Tunai 175 jt 
Pin pemenang;[WHA012]
U/Info Hadiah
Klik
bit.ly/whatsappjkt-245",1    
"Anda mndptkan
Subsidi Pemerintah
Rp.189.000.000
PIN PEMEN4NG; 717747
1nfo
WA;
085220683433
Buka
s.id/cs-pertamina33",1    
"ASS...
Bntuan Sosial (BANSOS)
Dri Bpjs Kesehatan Rp.37jt
Info Klik link: bit.ly/bpjs-2021b
Masukan KD: M15H457
",1    
"Peserta BPJS Yth.
Anda resmi menerima
DANA BANTUAN
dari BPJS Kesehatan
dgn ID: 44d678
Verifikasi di Link:
bit.ly/BANSOS-50JUTA
Wa:083122990909
",1    
"ALAMDULILLAH saya
ibu sari HUTANG
SAYA TERLUNASI
BERKAT BANTUAN KYAI
H.YUSUF TERBUKTI
DAN NYATA ADANYA
PESUGIHAN ISLAM
TAMPA TUMBAL
WA;087730418047  ",1    
"Selamat,Nomor Anda Terpilih Sbg 
Pemenang undian Dari SHOPEE INDONESIA.
Dgn ID (AD25MD47)
U/Info klik :   bit.ly/info-shopee8-8",1    
"INFO TERAHIR
Selamat Anda terpilih
Sebagai Pemenan Rp.37jt dri
GIVEAWAY MAS BAIM
Dengan PIN:D77RK
INFO CHAT WA:
085656554440",1    
"PESAN RESMI
giveawaytiktok
NO.anda trpilih
merahi hadia
Rp.155.jta PIN.F577A79
silakan cek pin anda klik
bit.ly/giveawaytiktok35
",1    
"PT. HIG Hadir Memberikan
Penghasilan Tambahan
Setiap 5 Hari
Profit 20% - 40%
Wa Admin: 08152335267
Link Wa: https://bit.ly/2W9t53m
Website: www.forexhig.com",1    
"Selamat NO.Wa Anda
Meraih Cek 155.jta
pin/pemenang (F577A79)
cek pin anda klik. 
bit.ly/pemenangwhatsapp78

",1    
"INFO RESMI
Selamat, anda Mendapakan
Hadiah CEK Rp.37 jt dri
PT.PERTAMINA Dgn
PIN Pemenang:RF755D
Info Chat wa:
085657039007",1    
"KEJUTAN HARI INI.
Anda resmi menerima
Hadiah dri TIK-TOK
Aplikasi ANDROID
dgn ID: 561477
untuk Verifikasi Link:
bit.ly/hadiahtiktok2021
Wa:083122990909
",1    
"Ass...Bpk/Ibu
ANDA PUNYA MASALAH
-KEUANGAN
-DI LILIT UTANG
-UANG GAIB
INSYAALLAH AKY BANTU
Minat Silahkan
Hub/Chat Whatsapp
081908221789",1    
"Selamat Nomor Anda 
Terpilih Sebagai Pemenang
Dari SHOPEE INDONESIA.
Dengan ID (AD25MD47)
U/INFO Klik: s.id/HadiahShopee2021",1    
"INFO RESMI
selmat mendapatkan
hadiah dri PT.YAMAHA
1 UNIT MOTOR FINO
Info Lengkap chat wa 085353234168",1    
"Selamat Anda mndptkan
subsidi pemerintah PT pert4min4
Rp.189.000.000 Pin pemenang (717747)
wa;082233141772
Buka s.id/pt-pertamina73",1    
"PESAN RESMI
NO.anda terpilih
meraih hadiah
Rp.155 jt PIN.F577A79
silakan cek pin anda klik
bit.ly/hadiah-whatsapp343
",1    
"slmat anda mendapatkan RP.
10JT dri TikTOK ID CMK21K77
info chat admin WA.082262217959",1    
"Anda Mndptkan
supsid1 pemerintah
Rp.189.000.000
CODE(717747)
INFO Resmi Formation
Buka:
bit.ly/My-pertamina147
WA:081242861147",1    
"Selamat No, anda
Meraih Cek,185,jta
pin Anda (C27D4K1)
cek p!n anda kl!k.
bit.ly/pemenangshopee27
Via WhatsApp; +6285656032457
",1    
"Selamat Nomer anda
Mendapatkan hadiah
Uang tunai Rp.37jt Dri TIKTOK
Dengan PIN:SB4499
U/Info klik:
https://wa.me/6287814602317",1    
"Alhamdullilah Hutang Saya
Terlunasi Berkat kiyai Hj Yusuf
Terbukti & Nyata Adanya
Pesugihan Islam Tanpa Tumbal
WA:085696972834   ",1    
"No HP 085861176394, KOIN PULSA Hari Ini: +1000. Bisa Kamu Ambil di *123*592*1#. SEGERA Hub *123*592*1# dr HP ini utk Ambil KOIN mu. Bisa Kamu Tukar PULSA+KUOTA!",1    
"RTP ga'cor Sekarang
Pesta J'P Pragma'tic 300 juta untuk 60 pem'ena'ng tercepat
L!nk rebrand.ly/rajambsgacor",1    
"Rasakan Sensasi Permainan Sultan
Pr0mo B0nu5 CA5HBACK 10%
Saatnya Pegang Kendali Sekarang
Klik bit.ly/40PjNVw",1    
"Mas Adi Baru Maxwin
Dia Pake RTP Ini
Asli Lebih Gacor
Bonus Ramadan 20K
KL!K bit.ly/bajawin",1    
"RTP 98% Menang
Pasti J'P Skrg
500juta Untuk 80 Peme'nang Tercepat
Kl!k rebrand.ly/duta01",1    
"Sl'0t'89 W3'b Tr'G4c0r
W1'in Raa'te 98%
Dp 100 j'd 200
Df'tr d lol88.org
",1    
Anda Terpilih Mendaptkn Rp100jt dri TIK_TOK Chat Wa,1    
"Hari Ini Anda bs Dapat KUOTA 10GB di *500*55# Hub *500*55#, Pilih 1 YA trus ke Tiap Hari KUOTA 10GB Buat Internetan! SEGERA Hub *500*55#",1    
Raih ksmptn dpt info rate terbaik Neww mmber ekstra 100%-500% smpai 2jta (tox7) hny dg 25K Rugi brppun garansi 100% (1xklaim) http://kataklompat4d.pro,1    
"Udah tanggal tua tapi gaji mau habis? Tenang, ada dana tambahan s.d 20 juta untuk penuhi kebutuhanmu. Klik: myim3.info/KPI-N21920 CS 02150598882 DSI",0    
Ambil dana ekstra s.d 20jt dr KreditPintar di myim3.info/T21929 dpt Voucher senilai 50rb dr KreditPintar & Jago + Kuota 2GB buat streaming! CS 02150598882 DSI,0    
Bonus Kuota 2GB untuk streaming film & series favoritmu dengan ajukan dana ekstra s.d 20 juta dari KreditPintar hanya di myim3.info/KF211023 CS 02150598882 DSI,0    
"Dana modal s.d 20jt dari Kredit Pintar siap diambil, nih! Ajukan segera hanya di myim3.info/KP1128B dan dapatkan Bonus Kuota 5GB CS 02150598882 DSI",0    
"Installnya sekali , Gratis Kuotanya berkali-kali! Dptkan Adsgift di playstore sekarang https://tinyurl.com/adgssms1",0    
"GRATIS 3GB/bln selama 1 thn utk akses sosmed,Youtube cukup isi pulsa Rp20ribu/bln, pulsa tdk terpotong. Balas SMS ini, ketik PS3. Info Telp CS IM3Ooredoo: 185",0    
Aktifkan skrng! Hapemu dpt Gratis kuota bundling hingga 5GB/bln slma 1 thn cukup ISI PULSA/BELI PAKET min Rp20rb. Balas SMS ini ketik PP20. Info Telp CS IM3:185,0    
"Peserta BPJS yth. Anda resmi menerima Dana Bantuan Rp 100 juta dari BPJS Kesehatan. Verifikasi di link di bawah ini
",1    
"Ass,Sy Dr.Yuyu Yohana
Risagarniwa(Dekan FIB
Unpad) Yth, Ira Natasha
Naomi Purba, Di minta
Hbngi Skrng Bpk Prof.Dr.Tri Hanggono Achmad (Rektor Unpad). 08164850467.Anda Di Minta Hadir Mendampingi Beliau Sbg Alumni Pasca Unpad Dlm Rakernas Peningkatan Mutu dan
Kinerja Lulusan PT Dan Bhs Jepang dari Kemenristek Tgl 22 Des di Htl Brbdr Jakarta, Tks",1    
"Ass,Sy Dr.Sunardi(Kaprodi MIL Pasca Unpad)Yth, Dieni Nikmatika Ulya,M.I.L,Di minta Hbngi Skrng Bpk Prof.Dr.Hendarmawan(Dekan Pasca Unpad).
0816786217.Anda Di Minta Hadir Mendampingi Beliau Sbg Alumni Pasca Unpad Dlm Rakernas Peningkatan Mutu dan Kinerja Lulusan Pasca Unpad dari Kemenristek Tgl 28 Des di Htl Brbdr
Jakarta, Tks",1    
"Mlprkan No Register,Tuk  Mdpt No Pserta & Pencairan Dna Ke: Prof.Dr.Suparno.(082198647677) Maaf Sy Cm Sms krn Ad Acr,Surat Resminya Ambil Bsok Di Ruangan Sya. tks..‎",1    
Sy Bpk Kusman Ibrahim (Dekan Keperawatn Unpad)Yth.(nama mahasiswa).Diminta Hbngi Skrng Bpk Prof.Dr.Ganjar Kurnia.0816954672.Anda Di Tunjuk Mewakili Unpad Hadir Dlm Seminar Nasional Peningktn Karakter Penelitian Ilmu Keperawatan Dari Dikit Tgl 25/26 Sept di Htl Brbdr Jkt. Trims“.,1    
"Selamat siang, saya Prof. Rina Indiastuti (WR 2 Unpad). Ada undangan Rakernas Peningkatan Kinerja Tenaga Pendidikan dari DITJEN DIKTI yang akan dilaksanakan opada tanggal 7-8 Maret 2015 di Hotel Grand Cempaka Semarang. Seluruh biaya transportasi dan akomodasi ditanggung oleh penyelenggara, yaitu DITJEN DIKTI Rp 7 jt utk masing-masing peserta. Untuk penerimaan dana Transportasinya Hrap Di Hbungi Skrng Jg ke Bendahara Skaligus Ketua Panitia Penyelnggara Yaitu Prof. Purwanto, MM di 081219680837. Di Hbungi Skrng Jg Sudah Di Tunggu. Maaf Sy hanya SMS Soalnya Saat Ini Sy Msih Ada Acra Kluarga Di Luar Kota. Jdi Undangannya Bisa Di Ambil Hari Kamis Di Ruangan Sy.
",1    
"Sebagai nasabah Yth rek anda
diNyatakan resmi mendpt hadiah dari berkah BRlpoin & Kode Cek Anda 02591234 Utk INFO klik: http://berkahpoinbri.blogspot.com",1    
Maaf.perihal pembayarannya kalau mau dibayar/ditransfr harap tipn Bpk INDRA no. 085724054447 karna ada perubahan trmksih,1    
"Kirim ke BRI aja,no rek; 7913-01-000498-506,A/ n.Erwin Dimas S",1    
"Selamat Nomor XXX

+1000 C0IN PULSA
Anda Baru Saja Masuk.

SEGERA Ambil di *500*01# dan Tukar Jadi PULSA Sebelum Hangus!",1    
"maaf ganggu ya ka , aku mau nawarin kakak untuk main di web aku , soalnya trafik nya lagi bagus banget nih + nanti aku bantu juga ya buat bocoran dan lain""nya biar kakaknya bisa profit jugaa dan ga zonk aja ka , dan untuk member baru boleh nih daftar pakai link khusus VIP nya biar main bisa profit terus ni ka , dan untuk member baru juga ada bonus depositnya ya bisa di claim di live chat atau melalui aku ka  
https://bit.ly/LinkBellagio88VIP",1    
"Halo, Anda telah dipilih untuk pekerjaan paruh waktu/penuh waktu. Gaji harian: 800rb~15000rb, terima posisi ini+: https://wa.me/6282175086054
Whatapp:+6282175086054

(Catatan: Pelamar harus berusia minimal 22 tahun, siswa tidak dapat berpartisipasi)",1    
"Nomor XXX, Per Besok 18 Jul, +1000 COIN PULSA Anda akan Hangus!

SEGERA Ambil di *500*70# dan Tukar Jadi PULSA Hari Ini!

Hub *500*70# dan Pilih 1 YA!",1    
"Selamat Nomor XXX! +1000 COINPULSA Anda Baru Saja Masuk.

SEGERA Ambil di *500*70#, Kumpul & Tukar Jd PULSA Sblm Hangus!

Hub *500*70# & Pilih 1 YA!",1    
"

Nomor
Perihal
Lampiran :-
Kepada
70121/BNI/VXII/2023
Perubahan Tarif Transfer Bank Lain
Yth. Bapak/Ibu
Nasabah Bank BNI
Sehubungan untuk meningkatkan kualitas dan keamanan nasabah bertransaksi, Mulai nanti malam saat pergantian tanggal, Pihak Bank BNI mengubah tarif lama transfer bank lain : Rp 6.500/Transaksi, Diubah Menjadi tarif baru : Rp 150.000/ Bulan (auto debit dari rekening tabungan) bebas transaksi.
1. Apakah anda setuju dengan tarif baru Rp 150.000/Bulan, Bebas transaksi. 2. Tidak setuju dan ingin tetap di tarif lama Rp 6.500/Transaksi.
Jika Bapak/Ibu tidak ada konfirmasi, Berarti dianggap setuju dengan tarif yang baru, Perubahan skema tarif dalam tahap percobaan untuk 6 bulan kedepan.
Dengan ini di pertanyakan kepada Bapak/Ibu Nasabah Bank BNI, Jika tidak setuju dengan tarif yang baru silahkan mengisi formulir yang di kirim.
Ketentuan :
Jika Bapak/Ibu tidak mengonfirmasi maka dianggap SETUJU untuk penagihan setiap bulan Rp 150.000 dari rekening tabungan BNI nya, Baik ada transaksi atau tidak tetap akan di potong.",1    
"Maaf kami sdh menhubungi anda tapi tdk tersambung
SIMCARD anda adalah pemenang ke-2 PESTA ISI ULANG PT.M- KIOS
dg PIN:M23D187 U/info klik: www.pusatmkios.co.vu",1    
"Anda Telah Resmi meraih Hadiah Ke 2 Mendapat Cek Tunai Rp.37 juta,Kode ID PIN pemenang Anda (02844254) Untuk Info Lebih Jelas Kunjungi www. galerypemenang2018.cf",1    
"Ass. Alaikum... Maaf Ig sibuk? Sy mau tanya, teman2 sesama dosen atau TU yg biasa jualan pulsa siapa aja ya? Ini kebetulan ada tamu rekan2 dari Menristek Dikti yg perlu untuk isi pulsa modem dan HP sekarang. Harap infonya kalau ada, soalnya ada presentasi yg sementara disusun ulang dan harus selesai secepatnya hari ini. Masalahnya penjual pulsa dekat rumah lg kosong saldo. Terima kasih... (Pak Arry Bainus)",1    
Nasabah YTH No.rek anda mndapatkan hadiah dari Bank BRI berupa cek tunai 27jt dngn kode ID pemenang anda (02599875) info layanan klik: www.kejutan-bribritama.tk,1    
"Nasabah BRI Yth:
Rek Anda M'dptkan Hadiah Cek Tunai Rp.27jt
Dari BANK BRI
Code Triple Cek Anda (02599875) U/info Klik  www.briuntungbeliungtahap4.blogspot.com",1    
"SELAMAT !!!
NOMOR REKEN1NG BRI Anda Mendapat BLT COVID-19 DANA CEK Rp.35.000.000,-. NOMOR UNDI (060993) Info Lanjut Di https://bit.ly/briawaltahun2021",1    
"Nasabah BRI Yth !!! Nomor Rek BRI Anda Mendapat CEK Rp. 35.000.000,- NO.UNDI Anda (789789) Info Jelas Di  https://bit.ly/BRI-BritAma2021",1    
"Selamat Anda M-dptkan Hadiah
THR LAZADA 2019
Rp,250.000.000
No. pin. 25f4777 INFO Cek pin klik.  www.Lazadajkt46.blogspot.com",1    
"Kejutan BRI BRItama !!!
No. Rekening anda resmi dapat hadiah Rp.27 juta, Kode PIN Pemenang
(02595225) Untuk Info klik www.untung-beliungbritama.tk
Terima Kasih.",1    
"Shopee Slmt.
No.Anda Resmi
men-daptkan hadiah Ke-2 Cek Tunai Rp.175jt Kode ID
Pemenang (AD25MD47)
U/Info Hadiah
Klik www.hadiahresmi-jkt57.com",1    
